day,hour,amount,isfraud,type_CASH_OUT,type_TRANSFER,nameorig_C,namedest_C,namedest_M
2,10,264210.89,0,0,0,1,1,0
14,22,9667.51,0,0,0,1,0,1
2,12,32802.43,0,0,0,1,0,1
5,11,570649.33,1,1,0,1,1,0
9,7,465498.74,1,1,0,1,1,0
4,14,8931607.89,1,0,1,1,1,0
17,15,9687.39,0,0,0,1,0,1
7,12,70882.85,0,0,0,1,1,0
13,19,9985.71,0,0,0,1,0,1
14,12,82226.21,0,0,0,1,1,0
15,13,3309631.1,1,0,1,1,1,0
10,22,2774.7,0,0,0,1,0,1
11,20,48911.44,0,0,0,1,1,0
7,19,7508.93,0,0,0,1,0,1
1,12,681.58,0,0,0,1,0,1
1,12,16065.39,0,0,0,1,0,1
9,1,371.88,0,0,0,1,1,0
5,13,177344.53,1,0,1,1,1,0
9,15,114559.25,0,1,0,1,1,0
14,24,15560.34,1,1,0,1,1,0
12,19,843174.04,1,1,0,1,1,0
13,23,11182.07,0,0,0,1,0,1
16,15,338305.18,0,1,0,1,1,0
8,17,16572.56,0,0,0,1,0,1
24,6,889.76,1,1,0,1,1,0
1,14,12044.78,0,1,0,1,1,0
30,16,344886.44,1,0,1,1,1,0
1,21,785323.0,1,0,1,1,1,0
30,8,1593189.25,1,0,1,1,1,0
3,16,37796.75,1,1,0,1,1,0
2,11,105694.53,0,0,0,1,1,0
31,10,10000000.0,1,1,0,1,1,0
16,12,403644.0,0,1,0,1,1,0
2,2,1027152.36,1,1,0,1,1,0
28,23,152724.32,1,1,0,1,1,0
30,14,208520.15,0,0,0,1,1,0
25,18,218526.26,0,1,0,1,1,0
16,19,12580.23,0,0,0,1,0,1
9,10,108985.71,0,0,0,1,1,0
17,15,1847305.17,0,0,1,1,1,0
10,24,248962.83,1,1,0,1,1,0
29,14,91414.47,0,0,0,1,1,0
12,8,177022.52,1,1,0,1,1,0
29,21,1018645.2,1,1,0,1,1,0
22,6,177137.79,1,0,1,1,1,0
11,6,14343.03,1,0,1,1,1,0
14,18,167558.51,0,1,0,1,1,0
11,21,591032.52,1,1,0,1,1,0
15,20,9545.9,0,0,0,1,0,1
9,13,64420.48,0,0,0,1,1,0
2,20,93325.78,0,0,0,1,1,0
10,20,75708.87,1,0,1,1,1,0
16,6,1846748.79,1,1,0,1,1,0
13,19,25705.04,0,0,0,1,0,1
12,16,33956.85,0,0,0,1,0,1
7,17,1533798.48,1,1,0,1,1,0
11,20,289823.38,0,1,0,1,1,0
7,13,431356.55,1,0,1,1,1,0
31,19,7758036.72,1,1,0,1,1,0
28,16,62184.44,1,1,0,1,1,0
13,23,6720.6,0,0,0,1,0,1
11,13,51998.28,0,0,0,1,0,1
11,1,441338.1,0,1,0,1,1,0
11,10,5750.69,0,0,0,1,0,1
3,12,1026208.84,1,0,1,1,1,0
14,24,38115.0,1,0,1,1,1,0
27,8,480404.03,1,1,0,1,1,0
18,3,281023.82,1,1,0,1,1,0
11,19,232130.41,0,0,0,1,1,0
14,15,136352.39,0,1,0,1,1,0
2,10,118687.91,0,1,0,1,1,0
14,19,86638.76,0,1,0,1,1,0
20,19,9511.69,1,1,0,1,1,0
11,20,1154.89,0,0,0,1,0,1
31,4,200482.72,1,0,1,1,1,0
14,11,52025.57,0,1,0,1,1,0
1,16,126235.91,0,0,0,1,1,0
1,21,7276.68,0,0,0,1,0,1
9,15,3410.16,0,0,0,1,0,1
21,21,9301213.46,1,0,1,1,1,0
8,2,335859.86,1,0,1,1,1,0
14,15,15865.79,0,1,0,1,1,0
17,16,5096946.74,1,0,1,1,1,0
1,13,48375.02,1,0,1,1,1,0
20,6,102464.68,1,1,0,1,1,0
21,23,854065.31,1,1,0,1,1,0
27,4,385207.12,1,0,1,1,1,0
29,20,701697.49,1,0,1,1,1,0
26,22,668273.94,1,1,0,1,1,0
10,20,5839.14,0,0,0,1,0,1
24,5,74709.4,1,0,1,1,1,0
10,10,195708.55,1,1,0,1,1,0
6,15,128417.96,1,0,1,1,1,0
4,14,372344.58,1,1,0,1,1,0
3,7,309254.05,1,1,0,1,1,0
25,3,3085336.66,1,0,1,1,1,0
11,11,14311.78,0,0,0,1,0,1
2,20,1403324.24,0,0,1,1,1,0
1,12,30490.57,0,0,0,1,0,1
13,22,7518.72,0,0,0,1,0,1
25,6,1070031.6,1,1,0,1,1,0
12,22,132943.98,1,0,1,1,1,0
5,22,50845.13,1,1,0,1,1,0
28,16,84771.55,1,0,1,1,1,0
14,4,72665.95,1,1,0,1,1,0
1,19,225688.66,0,0,0,1,1,0
27,13,447474.67,1,0,1,1,1,0
15,14,5963850.34,1,1,0,1,1,0
1,16,25772.63,0,0,0,1,0,1
26,19,418971.0,1,1,0,1,1,0
1,15,151134.21,0,1,0,1,1,0
12,20,12306.51,0,0,0,1,0,1
17,5,1090527.71,1,1,0,1,1,0
7,19,36116.86,0,1,0,1,1,0
6,1,174296.71,1,0,1,1,1,0
22,19,921894.19,1,0,1,1,1,0
24,10,6324299.91,1,0,1,1,1,0
28,8,46291.81,1,1,0,1,1,0
17,22,23769.38,0,0,0,1,0,1
24,11,188046.17,0,0,0,1,1,0
18,5,73.79,0,0,0,1,0,1
7,4,3733104.07,1,1,0,1,1,0
6,21,20.28,0,0,0,1,0,1
19,14,2720647.79,1,0,1,1,1,0
16,15,4973.88,0,0,0,1,0,1
11,14,47626.93,0,0,0,1,1,0
27,20,628033.58,1,0,1,1,1,0
19,6,60274.87,1,1,0,1,1,0
10,11,182666.85,1,1,0,1,1,0
10,16,90142.04,0,0,0,1,1,0
4,22,3973.45,0,0,0,1,0,1
4,14,10000000.0,1,1,0,1,1,0
15,20,8659.53,0,0,0,1,0,1
18,9,2028897.08,1,0,1,1,1,0
13,7,162756.9,1,0,1,1,1,0
4,10,45077.1,1,0,1,1,1,0
12,15,6187.82,0,0,0,1,0,1
12,13,2392482.86,1,0,1,1,1,0
7,10,4540.49,0,0,0,1,0,1
22,10,713404.6,1,0,1,1,1,0
15,18,263079.13,0,1,0,1,1,0
7,10,448813.64,0,1,0,1,1,0
11,13,328291.25,0,0,0,1,1,0
14,11,46347.24,0,1,0,1,1,0
12,5,32527.0,1,1,0,1,1,0
21,13,1214511.61,1,0,1,1,1,0
18,1,175972.28,1,1,0,1,1,0
16,19,218404.24,0,0,1,1,1,0
2,18,75944.44,0,1,0,1,1,0
21,23,861189.54,1,0,1,1,1,0
16,15,4754.05,0,0,0,1,0,1
31,11,508929.61,1,1,0,1,1,0
25,19,22944.32,0,0,0,1,1,0
1,15,66718.89,0,0,0,1,1,0
2,23,202978.65,1,0,1,1,1,0
11,2,3210027.48,1,0,1,1,1,0
2,17,262226.54,0,1,0,1,1,0
9,10,227941.08,0,1,0,1,1,0
9,20,3640983.71,1,0,1,1,1,0
17,20,270826.94,0,0,0,1,1,0
15,13,78569.95,0,1,0,1,1,0
13,15,786480.78,1,0,1,1,1,0
11,17,2877.92,0,0,0,1,0,1
25,2,978103.4,1,0,1,1,1,0
15,10,185483.09,0,1,0,1,1,0
16,13,141410.98,1,0,1,1,1,0
8,18,257069.55,0,0,0,1,1,0
7,12,293225.9,0,1,0,1,1,0
16,19,46659.42,0,1,0,1,1,0
15,17,2475788.62,0,0,1,1,1,0
12,16,474.41,0,0,0,1,1,0
1,22,89571.46,1,1,0,1,1,0
16,12,61078.36,0,0,0,1,1,0
7,15,20225.17,1,0,1,1,1,0
17,7,47721.95,1,1,0,1,1,0
29,23,665676.43,1,0,1,1,1,0
4,21,269545.63,1,0,1,1,1,0
24,3,2100951.58,1,0,1,1,1,0
28,16,84771.55,1,1,0,1,1,0
7,6,67653.75,1,0,1,1,1,0
29,13,1933121.35,1,0,1,1,1,0
10,18,18617.12,0,0,0,1,0,1
8,24,306213.63,1,1,0,1,1,0
3,19,42513.08,1,1,0,1,1,0
1,13,510425.64,0,1,0,1,1,0
8,17,3939.26,0,0,0,1,0,1
17,24,5020.54,0,0,0,1,0,1
17,14,9725837.08,1,1,0,1,1,0
1,18,32168.11,0,1,0,1,1,0
19,8,5049594.33,1,1,0,1,1,0
2,9,5693.59,0,0,0,1,0,1
8,11,128142.5,0,0,0,1,1,0
12,2,10000000.0,1,1,0,1,1,0
15,17,100251.4,0,1,0,1,1,0
14,10,20986.02,1,1,0,1,1,0
18,14,298365.86,1,1,0,1,1,0
16,18,76325.15,0,1,0,1,1,0
11,15,38223.11,1,1,0,1,1,0
13,9,75592.08,0,1,0,1,1,0
17,24,313936.67,1,1,0,1,1,0
13,21,269540.92,0,1,0,1,1,0
15,9,44578.81,0,0,0,1,0,1
22,10,48340.79,1,1,0,1,1,0
13,8,717046.74,1,1,0,1,1,0
24,17,51416.07,1,0,1,1,1,0
17,19,606230.91,0,0,1,1,1,0
6,10,201988.55,1,0,1,1,1,0
24,16,112988.36,1,1,0,1,1,0
12,17,241034.19,0,0,0,1,1,0
12,23,223730.4,1,0,1,1,1,0
2,10,3592.14,0,0,0,1,0,1
17,13,2205248.83,0,0,1,1,1,0
15,15,300267.77,0,0,0,1,1,0
11,16,255028.93,1,0,1,1,1,0
2,22,142830.01,0,1,0,1,1,0
12,20,164502.06,1,1,0,1,1,0
24,2,346795.44,1,0,1,1,1,0
4,23,9793.9,0,0,0,1,0,1
24,16,66188.66,1,0,1,1,1,0
15,13,1023356.77,1,1,0,1,1,0
16,12,1532.05,0,1,0,1,1,0
25,6,47662.13,1,0,1,1,1,0
17,17,136869.89,0,0,0,1,1,0
13,3,2324907.08,1,0,1,1,1,0
27,22,10000000.0,1,0,1,1,1,0
2,19,330782.31,0,0,0,1,1,0
17,10,303200.93,0,1,0,1,1,0
28,23,188731.21,1,0,1,1,1,0
3,5,3640271.29,1,1,0,1,1,0
1,19,83934.42,0,0,0,1,1,0
26,13,327791.14,1,0,1,1,1,0
8,15,81095.04,0,1,0,1,1,0
31,22,63416.99,1,0,1,1,1,0
4,22,2393539.65,1,1,0,1,1,0
12,15,10000000.0,1,1,0,1,1,0
17,7,4559921.56,1,1,0,1,1,0
14,10,113780.31,0,1,0,1,1,0
23,18,24773.86,1,1,0,1,1,0
11,11,10738.42,0,0,0,1,0,1
12,23,14702.62,0,0,0,1,0,1
23,10,1253358.42,1,1,0,1,1,0
13,17,456930.88,1,1,0,1,1,0
15,20,263490.87,0,0,0,1,1,0
16,14,44635.56,0,1,0,1,1,0
22,16,3283695.97,1,1,0,1,1,0
7,12,2731.8,0,0,0,1,0,1
1,1,176334.26,0,0,1,1,1,0
4,21,11039.55,0,0,0,1,0,1
1,12,14276.91,0,1,0,1,1,0
6,20,69268.03,0,1,0,1,1,0
18,2,206985.26,1,1,0,1,1,0
1,21,4107.29,0,0,0,1,0,1
10,8,8111.09,1,1,0,1,1,0
17,17,10934.66,0,0,0,1,0,1
21,17,141586.27,1,0,1,1,1,0
24,19,1065787.82,1,1,0,1,1,0
7,17,538428.86,1,0,1,1,1,0
11,18,7010.42,0,1,0,1,1,0
1,10,2662734.59,1,1,0,1,1,0
14,4,1825908.12,1,1,0,1,1,0
1,9,361559.69,1,1,0,1,1,0
11,11,229872.24,0,1,0,1,1,0
13,22,1085637.56,1,1,0,1,1,0
14,13,441873.49,1,0,1,1,1,0
10,13,1093297.06,0,0,1,1,1,0
1,18,48233.02,0,1,0,1,1,0
2,19,100999.06,0,0,0,1,1,0
2,18,199340.01,0,0,0,1,1,0
23,22,1684.46,0,0,0,1,0,1
1,11,2100.0,1,0,1,1,1,0
11,1,1061482.24,1,1,0,1,1,0
16,17,18338.65,0,0,0,1,0,1
25,15,609239.75,1,0,1,1,1,0
8,19,26697.83,0,1,0,1,1,0
2,13,1785.51,0,0,0,1,0,1
25,14,179725.06,1,1,0,1,1,0
11,1,1282731.68,1,1,0,1,1,0
22,11,290211.26,1,1,0,1,1,0
2,7,335219.49,1,1,0,1,1,0
10,14,392317.88,0,1,0,1,1,0
11,11,4417.78,0,0,0,1,0,1
13,8,40593.23,1,1,0,1,1,0
5,9,511379.9,1,0,1,1,1,0
28,20,4022098.69,1,1,0,1,1,0
21,16,174725.11,1,0,1,1,1,0
14,8,767879.02,1,0,1,1,1,0
31,21,5674547.89,1,0,1,1,1,0
28,22,1001446.44,1,1,0,1,1,0
4,7,432254.84,1,0,1,1,1,0
31,7,124582.58,1,1,0,1,1,0
10,10,298878.16,0,0,0,1,1,0
15,20,28524.02,0,0,0,1,1,0
2,19,93459.89,1,0,1,1,1,0
14,12,400407.28,0,1,0,1,1,0
20,16,653983.93,1,1,0,1,1,0
11,22,21528.52,0,0,0,1,0,1
11,10,431053.18,0,0,1,1,1,0
18,19,474195.1,1,0,1,1,1,0
2,13,345391.84,0,0,0,1,1,0
15,19,10040.06,0,0,0,1,0,1
20,12,1455382.05,1,1,0,1,1,0
10,3,2312944.11,1,1,0,1,1,0
17,17,121518.2,0,0,0,1,1,0
17,11,47984.43,1,1,0,1,1,0
8,12,322010.72,0,1,0,1,1,0
12,21,106654.67,1,1,0,1,1,0
15,14,30937.87,0,0,0,1,0,1
6,20,6783.47,1,0,1,1,1,0
8,1,286306.33,1,1,0,1,1,0
2,17,16740.92,0,0,0,1,0,1
22,18,161324.33,0,0,0,1,1,0
7,12,215208.23,0,1,0,1,1,0
27,18,20281.44,1,0,1,1,1,0
20,16,63440.63,1,1,0,1,1,0
9,11,211557.34,0,0,0,1,1,0
17,14,505571.43,1,0,1,1,1,0
5,4,1422963.14,1,1,0,1,1,0
17,20,2754759.04,1,1,0,1,1,0
8,9,121369.76,0,1,0,1,1,0
15,20,518566.03,0,1,0,1,1,0
2,9,24503.57,0,0,0,1,0,1
24,20,2000718.2,1,0,1,1,1,0
16,16,16146.98,0,0,0,1,1,0
15,14,15027.0,0,0,0,1,0,1
26,15,368973.39,1,1,0,1,1,0
8,18,2370.56,0,0,0,1,0,1
14,16,65249.53,0,1,0,1,1,0
8,18,179321.12,1,1,0,1,1,0
10,14,10000000.0,1,0,1,1,1,0
17,13,248110.19,0,0,1,1,1,0
12,5,32527.0,1,0,1,1,1,0
2,21,13448.28,0,0,0,1,0,1
4,10,1534985.07,1,1,0,1,1,0
9,20,10000000.0,1,1,0,1,1,0
15,12,142136.79,0,1,0,1,1,0
13,20,15935.02,0,0,0,1,0,1
28,21,5388834.64,1,1,0,1,1,0
30,11,226402.77,1,0,1,1,1,0
2,13,1075343.67,0,0,1,1,1,0
13,10,542187.96,0,1,0,1,1,0
12,24,1905476.22,1,0,1,1,1,0
9,17,547.35,0,0,0,1,0,1
5,12,99808.45,1,1,0,1,1,0
12,21,6249265.86,1,1,0,1,1,0
10,15,20421.99,0,0,0,1,1,0
13,9,141746.98,0,0,0,1,1,0
16,1,9408.35,0,0,0,1,0,1
31,12,311832.17,1,0,1,1,1,0
8,15,255498.94,0,1,0,1,1,0
9,19,8367.68,0,0,0,1,0,1
17,2,879810.51,1,0,1,1,1,0
11,20,175597.64,1,0,1,1,1,0
15,18,776478.71,0,0,1,1,1,0
6,6,938288.58,1,0,1,1,1,0
16,18,187761.76,1,1,0,1,1,0
29,15,713346.36,0,1,0,1,1,0
8,19,217844.05,0,1,0,1,1,0
10,11,1805.1,0,0,0,1,0,1
13,20,97463.54,0,1,0,1,1,0
15,22,376059.27,1,1,0,1,1,0
23,13,107320.81,1,1,0,1,1,0
12,18,288920.6,0,0,1,1,1,0
17,18,215960.25,0,0,0,1,1,0
13,10,99950.97,0,1,0,1,1,0
1,12,558113.12,0,1,0,1,1,0
6,16,20122.99,0,0,0,1,1,0
11,12,76200.04,1,0,1,1,1,0
1,19,3477438.49,1,0,1,1,1,0
30,23,479926.98,1,0,1,1,1,0
13,23,8589704.49,1,1,0,1,1,0
2,20,24693.13,0,1,0,1,1,0
8,7,47604.75,1,0,1,1,1,0
23,23,879321.88,1,0,1,1,1,0
28,19,161536.55,1,1,0,1,1,0
1,14,32575.73,0,1,0,1,1,0
17,20,271023.52,0,0,0,1,1,0
6,21,371344.51,0,1,0,1,1,0
2,19,93459.89,1,1,0,1,1,0
12,7,1621056.88,1,1,0,1,1,0
8,23,114743.39,1,1,0,1,1,0
3,13,37720.99,1,0,1,1,1,0
18,16,158245.65,1,0,1,1,1,0
28,23,0.0,1,1,0,1,1,0
26,17,10000000.0,1,0,1,1,1,0
6,19,8453.64,0,0,0,1,0,1
22,23,8726.92,0,0,0,1,0,1
30,10,934590.45,1,1,0,1,1,0
22,16,3283695.97,1,0,1,1,1,0
19,24,38180.99,1,0,1,1,1,0
2,17,79613.33,0,0,0,1,1,0
15,17,301061.98,0,1,0,1,1,0
8,21,384284.62,0,0,1,1,1,0
29,7,198383.8,1,0,1,1,1,0
2,23,72049.28,0,1,0,1,1,0
22,18,1312.17,0,0,0,1,0,1
14,11,7596886.83,1,1,0,1,1,0
25,15,906270.63,1,0,1,1,1,0
2,11,154320.54,0,0,0,1,1,0
17,23,7743.14,0,0,0,1,0,1
18,3,281023.82,1,0,1,1,1,0
17,5,9060955.18,1,1,0,1,1,0
6,16,799.79,0,0,0,1,0,1
14,18,19692.68,1,0,1,1,1,0
19,9,5429153.98,1,1,0,1,1,0
15,15,118111.77,1,1,0,1,1,0
9,15,632297.79,0,0,1,1,1,0
20,15,504344.93,1,0,1,1,1,0
30,6,308778.37,1,0,1,1,1,0
11,9,129665.48,0,0,0,1,1,0
29,1,223708.16,0,0,0,1,1,0
30,20,6426126.34,1,0,1,1,1,0
10,19,66664.11,0,0,0,1,1,0
22,3,781183.07,1,1,0,1,1,0
16,19,146184.07,0,0,0,1,1,0
13,17,10000000.0,1,0,1,1,1,0
1,20,610737.85,0,0,1,1,1,0
13,12,8725.48,0,1,0,1,1,0
14,11,385642.3,0,1,0,1,1,0
24,14,1828.6,1,1,0,1,1,0
14,23,61759.27,0,1,0,1,1,0
7,5,661558.27,1,1,0,1,1,0
22,16,7753.63,0,1,0,1,1,0
2,16,198041.22,0,1,0,1,1,0
12,21,179648.89,1,0,1,1,1,0
2,17,15007.09,0,0,0,1,0,1
15,15,104768.84,0,1,0,1,1,0
2,23,3555.59,0,0,0,1,0,1
31,22,652993.91,1,1,0,1,1,0
25,16,422766.75,0,1,0,1,1,0
14,3,3972968.92,1,1,0,1,1,0
9,24,36300.25,1,1,0,1,1,0
13,18,202687.84,0,1,0,1,1,0
16,20,22352.27,0,1,0,1,1,0
1,6,17246.0,1,0,1,1,1,0
9,17,5892.08,0,0,0,1,0,1
3,16,1814483.97,1,1,0,1,1,0
20,13,254045.73,0,1,0,1,1,0
13,20,145507.95,0,1,0,1,1,0
26,5,147230.63,1,0,1,1,1,0
22,22,377038.53,1,0,1,1,1,0
8,7,87622.5,1,1,0,1,1,0
20,23,6669495.34,1,1,0,1,1,0
4,11,286769.07,1,0,1,1,1,0
9,21,208540.65,0,1,0,1,1,0
2,3,329937.88,1,1,0,1,1,0
24,9,31945.44,1,1,0,1,1,0
8,20,163395.63,0,1,0,1,1,0
15,16,1962548.46,1,1,0,1,1,0
11,12,276322.0,0,1,0,1,1,0
22,10,3551771.18,1,1,0,1,1,0
6,2,2221683.68,1,1,0,1,1,0
30,24,40075.02,1,1,0,1,1,0
13,11,1150561.97,1,1,0,1,1,0
7,5,14016.65,1,1,0,1,1,0
31,12,417129.11,1,1,0,1,1,0
9,13,231036.46,0,1,0,1,1,0
5,8,125159.2,1,0,1,1,1,0
25,1,1396824.94,1,1,0,1,1,0
7,12,111729.02,0,1,0,1,1,0
13,22,628029.14,0,0,1,1,1,0
24,3,2100951.58,1,1,0,1,1,0
7,18,60299.45,0,1,0,1,1,0
23,21,1057053.6,1,1,0,1,1,0
7,22,158.79,0,0,0,1,0,1
11,1,657417.64,1,1,0,1,1,0
9,19,1049232.11,1,0,1,1,1,0
2,21,357836.57,1,0,1,1,1,0
14,21,2958971.15,0,0,1,1,1,0
31,11,81677.17,1,0,1,1,1,0
13,17,1309602.55,1,0,1,1,1,0
14,20,3955.75,0,0,0,1,0,1
16,19,405571.54,0,1,0,1,1,0
8,13,113420.17,0,1,0,1,1,0
3,21,582571.87,1,0,1,1,1,0
6,21,107283.5,0,1,0,1,1,0
20,18,1499869.54,1,0,1,1,1,0
15,24,119475.32,0,1,0,1,1,0
14,18,36752.5,0,0,0,1,0,1
26,22,668273.94,1,0,1,1,1,0
6,12,37998.38,0,1,0,1,1,0
23,21,461442.52,1,0,1,1,1,0
26,14,4212682.84,1,0,1,1,1,0
9,11,17624.65,0,0,0,1,0,1
17,7,235763.38,1,1,0,1,1,0
23,9,2463190.9,1,0,1,1,1,0
6,21,370382.39,1,0,1,1,1,0
4,1,12619.29,1,0,1,1,1,0
9,10,14314.35,0,0,0,1,0,1
15,18,33363.34,0,1,0,1,1,0
7,15,214070.67,0,1,0,1,1,0
16,18,17495.56,0,1,0,1,1,0
9,14,11192.57,0,0,0,1,0,1
31,18,106584.32,1,0,1,1,1,0
11,4,4252656.95,1,1,0,1,1,0
16,14,23357.13,0,0,0,1,0,1
13,12,4121.39,0,0,0,1,0,1
13,12,74240.76,0,0,0,1,1,0
6,10,73024.58,0,0,0,1,1,0
20,4,217666.25,1,0,1,1,1,0
3,17,881811.11,1,0,1,1,1,0
14,15,31815.5,0,0,0,1,0,1
13,14,307228.11,0,0,1,1,1,0
17,18,395504.57,0,0,0,1,1,0
3,21,271731.05,1,0,1,1,1,0
13,16,32220.76,0,0,0,1,0,1
17,24,2567602.1,1,0,1,1,1,0
21,21,1318024.48,1,1,0,1,1,0
17,18,14161.75,0,0,0,1,0,1
6,20,114259.62,0,1,0,1,1,0
2,16,231981.36,0,1,0,1,1,0
16,20,167568.36,0,1,0,1,1,0
6,23,1608571.02,1,1,0,1,1,0
18,10,452261.67,1,0,1,1,1,0
14,3,4713935.64,1,1,0,1,1,0
8,21,3451.11,0,0,0,1,0,1
7,23,251140.96,1,1,0,1,1,0
16,20,239347.05,0,1,0,1,1,0
15,17,13774.15,1,0,1,1,1,0
1,16,16103.55,0,0,0,1,0,1
19,18,422261.63,1,0,1,1,1,0
9,18,94431.98,1,1,0,1,1,0
10,12,503105.4,0,0,0,1,1,0
31,8,6322399.97,1,1,0,1,1,0
18,1,9033760.73,1,1,0,1,1,0
5,20,1562871.32,1,1,0,1,1,0
1,11,409729.93,0,0,1,1,1,0
19,11,1162672.01,1,0,1,1,1,0
20,18,1165171.47,1,0,1,1,1,0
11,22,56796.2,0,1,0,1,1,0
6,13,178649.1,0,1,0,1,1,0
9,17,11252.84,0,0,0,1,0,1
9,13,475315.61,1,1,0,1,1,0
6,14,19961.98,0,0,0,1,0,1
24,12,1650856.19,1,1,0,1,1,0
6,10,169027.71,0,0,0,1,1,0
10,14,541900.3,0,0,1,1,1,0
16,22,565346.12,1,1,0,1,1,0
26,21,6961359.11,1,1,0,1,1,0
11,14,443737.93,0,1,0,1,1,0
7,10,18707.81,0,0,0,1,0,1
7,9,221113.92,0,0,0,1,1,0
9,20,165925.37,1,0,1,1,1,0
25,15,221107.56,1,1,0,1,1,0
28,14,1468304.35,1,1,0,1,1,0
18,15,156612.1,0,0,0,1,1,0
8,13,410299.86,1,0,1,1,1,0
16,9,351.24,0,1,0,1,1,0
22,15,1558.46,1,0,1,1,1,0
2,12,123038.59,0,0,0,1,1,0
11,24,141967.21,0,0,0,1,1,0
1,13,145997.06,0,1,0,1,1,0
30,1,1272493.9,1,0,1,1,1,0
16,19,14747.94,0,0,0,1,0,1
1,10,94384.84,0,0,0,1,1,0
16,12,533574.73,0,1,0,1,1,0
13,13,1296029.62,0,0,1,1,1,0
2,10,989311.12,1,1,0,1,1,0
12,16,11601.9,0,0,0,1,0,1
14,22,21455.26,0,0,0,1,0,1
1,14,1561891.66,1,1,0,1,1,0
3,13,55062.46,1,0,1,1,1,0
21,15,1054584.85,0,0,1,1,1,0
22,18,546813.76,0,0,1,1,1,0
17,24,8550.18,0,0,0,1,0,1
9,11,267829.65,0,1,0,1,1,0
13,13,69037.07,0,0,0,1,1,0
31,18,108240.74,1,1,0,1,1,0
16,17,73946.79,1,1,0,1,1,0
10,15,73012.25,0,1,0,1,1,0
9,13,566156.42,1,0,1,1,1,0
7,2,554522.67,1,0,1,1,1,0
10,13,2122011.54,0,0,1,1,1,0
8,16,7594.38,0,0,0,1,0,1
12,21,752639.78,1,0,1,1,1,0
14,12,207504.24,0,0,0,1,1,0
14,11,2621.84,0,0,0,1,0,1
17,19,53112.93,0,0,0,1,1,0
19,14,239095.53,1,0,1,1,1,0
29,1,645104.5,1,0,1,1,1,0
7,24,72861.47,0,0,0,1,1,0
11,11,38980.13,0,0,0,1,0,1
14,18,7013.61,0,0,0,1,0,1
16,24,119449.61,0,0,0,1,1,0
3,24,3243092.91,1,1,0,1,1,0
11,14,26382.56,0,1,0,1,1,0
9,19,73599.57,1,1,0,1,1,0
3,17,403975.39,1,1,0,1,1,0
9,11,18576.41,0,0,0,1,0,1
13,19,1749325.14,1,0,1,1,1,0
16,22,565346.12,1,0,1,1,1,0
2,2,78741.64,1,1,0,1,1,0
15,11,7009.99,0,0,0,1,0,1
25,18,389250.9,1,1,0,1,1,0
20,22,2254718.25,1,0,1,1,1,0
7,20,202253.48,0,1,0,1,1,0
